job_position_name,skills_required_cleaned,responsibilities,educationaL_requirements,experiencere_requirement
Senior Software Engineer,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year
Machine Learning (ML) Engineer,,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s)
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",brand promotion campaign management field supervision merchandising promotional activities trade marketing,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",Master of Business Administration (MBA),At least 3 years
Business Development Executive,fast typing skill ieltsinternet browsing online work ability,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",Bachelor/Honors,1 to 3 years
Senior iOS Engineer,ios ios app developer ios application development ios development mobile apps developer ios native ios swift ios swift ui,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",Bachelor of Science (BSc) in Computer Science,At least 4 years
AI Engineer,python r or java tensorflow pytorch scikit learn,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Bachelors or Masters degree in Computer Science, Engineering, or a related field.",N/A
Mechanical Engineer,maintenance and troubleshooting mechanical,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years
Mechanical Designer,autocad solidworks,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years
Asst. Manager/ Manger (Administrative),administration health safety and environment safety and security management,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",Bachelor/Honors,At least 5 years
Database Administrator (DBA),asp net mvc strong understanding of database design database administrator dba database management elasticsearch mongodb mysql database nosql database redis,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",Bachelor of Science (BSc) in Computer Science,At least 1 year
